date,close,high,low,pre_close,range,change,vol,turnover,Ln,Hn,RSV,Ki,Di,Ji,MA,BIAS,SD,WR,DIF_UP,DIF_DN,DIF,ACD,rsi,DMA,BBI
11/26/18,5397.0274,5440.0088,5360.3383,5369.2773,27.7501,0.5168,4797776,4008228611,5360.3383,5717.5197,10.27183946,28.88843074,48.31239521,-9.959498213,5503.65044,-0.019373149,99.98058666,89.72816054,36.6891,-42.9814,36.6891,542.187,0.151836346,140.372452,5468.458111
11/23/18,5369.2773,5593.5529,5368.9314,5587.7531,-218.4758,-3.9099,7458541,5876285554,5368.9314,5717.5197,0.099228804,38.19672637,58.02437745,-1.458575779,5559.83648,-0.034274242,96.58873847,99.9007712,0.3459,-224.2756,-224.2756,443.2206,0.15067091,140.657774,5491.057443
11/22/18,5587.7531,5631.1412,5569.533,5597.8932,-10.1401,-0.1811,5544457,4531340528,5485.5901,5717.5197,44.0491425,57.24547516,67.93820299,35.8600195,5615.8445,-0.005002168,66.28998369,55.9508575,18.2201,-43.3881,-43.3881,692.7825,0.468455313,131.01127,5515.173068
11/21/18,5597.8932,5610.7142,5485.5901,5566.3012,31.592,0.5676,7643372,6168091052,5485.5901,5717.5197,48.42120195,63.84364149,73.2845669,44.96179066,5618.98884,-0.003754348,86.47037724,51.57879805,112.3031,-12.821,112.3031,700.7601,0.660028007,102.54693,5508.383679
11/20/18,5566.3012,5717.5197,5562.4606,5677.9576,-111.6564,-1.9665,9700054,8388156963,5477.0376,5717.5197,37.11860467,71.55486125,78.00502961,58.65452454,5598.93802,-0.005829109,93.14725672,62.88139533,3.8406,-151.2185,-151.2185,631.9978,0.591031423,76.762274,5497.548733
11/19/18,5677.9576,5677.9576,5586.5088,5649.3174,28.6402,0.507,8069513,6741381702,5367.2456,5691.7038,95.76333716,88.77298954,81.23011378,103.8587411,5588.32052,0.016040075,107.4755485,4.236662843,91.4488,0,91.4488,687.3606,0.941297482,59.519932,5485.620905
11/16/18,5649.3174,5691.7038,5606.4598,5603.4748,45.8426,0.8181,9004156,7725848492,5307.4297,5691.7038,88.96974842,85.27781574,77.4586759,100.9160954,5541.43928,0.019467527,105.6519243,11.03025158,45.8426,-42.3864,45.8426,836.2793,0.95699694,36.281296,5438.72961
11/15/18,5603.4748,5603.4748,5507.2438,5497.6391,105.8357,1.9251,8059631,6844061955,5284.3483,5603.4748,100,83.4318494,73.54910599,103.1973362,5476.184,0.023244434,95.48608635,0,105.8357,0,105.8357,1003.7772,0.952971533,9.31096,5397.000526
11/14/18,5497.6391,5544.7442,5477.0376,5513.2137,-15.5746,-0.2825,7332969,6003731487,5284.3483,5544.7442,81.91019905,75.1477741,68.60773428,88.22785374,5417.38044,0.014815031,81.28712107,18.08980095,20.6015,-47.1051,-47.1051,731.4438,0.768689178,-31.107862,5357.250797
11/13/18,5513.2137,5543.4292,5367.2456,5443.5514,69.6623,1.2797,9239780,7401144545,5284.3483,5543.4292,88.33742665,71.76656163,65.33771437,84.62425614,5388.96366,0.023056389,72.95737908,11.66257335,145.9681,-30.2155,145.9681,897.5549,0.702538784,-68.036794,5325.497536
11/12/18,5443.5514,5443.556,5307.4297,5323.041,120.5104,2.2639,6292288,5457903844,5284.3483,5443.556,99.99711069,63.48112911,62.12329074,66.19680585,5365.50344,0.014546251,59.94875945,0.002889307,136.1217,-0.0046,136.1217,594.4636,0.55267487,-115.030902,5296.567761
11/9/18,5323.041,5337.0304,5284.3483,5309.457,13.584,0.2558,4470369,3776123265,5284.3483,5457.9848,22.28373643,45.22313832,61.44437156,12.78067186,5360.64428,-0.007014694,90.785128,77.71626357,38.6927,-13.9894,38.6927,320.7092,0.367725934,-156.93839,5279.783362
11/8/18,5309.457,5400.1168,5307.8053,5355.5552,-46.0982,-0.8608,5341641,4601911524,5276.5808,5457.9848,18.12319464,56.69283927,69.55498817,30.96854147,5369.89676,-0.011255293,125.3292541,81.87680536,1.6517,-90.6598,-90.6598,245.7762,0.653799144,-183.913146,5279.647548
11/7/18,5355.5552,5424.9122,5346.8356,5395.9126,-40.3574,-0.7479,6235967,5564915281,5197.054,5457.9848,60.74453457,75.97766159,75.98606263,75.96085952,5351.3877,0.00077877,129.9165288,39.25546543,8.7196,-69.357,-69.357,-58.983,0.804030461,-210.013616,5283.189489
11/6/18,5395.9126,5411.0603,5340.4052,5419.2556,-23.343,-0.4307,6639361,6131855180,5069.8626,5457.9848,84.00704727,83.5942251,75.99026314,98.80214902,5313.49024,0.015511906,133.6959917,15.99295273,55.5074,-23.343,-23.343,67.6661,0.940123174,-236.720962,5272.367083
11/5/18,5419.2556,5457.9848,5350.2516,5369.3034,49.9522,0.9303,8103574,7442724701,4959.6751,5457.9848,92.22788559,83.38781402,72.18828217,105.7868777,5247.98998,0.032634517,128.8302736,7.77211441,69.004,-38.7292,69.004,26.6793,1,-265.577566,5237.473407
11/2/18,5369.3034,5369.3034,5276.5808,5216.9117,152.3917,2.9211,8894855,7955025251,4959.6751,5369.3034,100,78.96777823,66.58851624,103.7263022,5172.475,0.03805304,106.8243926,0,152.3917,0,152.3917,-221.2578,0.839076822,-288.333686,5194.521765
11/1/18,5216.9117,5289.0786,5197.054,5166.0679,50.8438,0.9842,8385016,7130172993,4959.6751,5289.0786,78.09164141,68.45166735,60.39888524,84.55723157,5119.40592,0.019046308,61.76004109,21.90835859,50.8438,-72.1669,50.8438,-318.3511,0.745987468,-333.395606,5154.38724
10/31/18,5166.0679,5189.6444,5069.8626,5068.4113,97.6566,1.9268,7187110,5646885663,4954.561,5189.6444,89.97100603,63.63168032,56.37249419,78.1500526,5095.36474,0.013875976,43.80867393,10.02899397,97.6566,-23.5765,97.6566,-470.5049,0.576405366,-378.802796,5135.826074
