date,close,high,low,pre_close,range,change,vol,turnover
4/13/20,11203.43,11251.4976,11084.7825,11269.0866,-65.6566,-0.5826,4251086,8972727221
4/10/20,11269.0866,11491.988,11230.6528,11344.8767,-75.7901,-0.6681,5679073,12959782038
4/9/20,11344.8767,11372.5527,11235.1439,11256.4963,88.3804,0.7852,6162368,12423098090
4/8/20,11256.4963,11346.2693,11202.5526,11426.5966,-170.1003,-1.4886,7276592,13874667703
4/7/20,11426.5966,11462.4685,11231.5761,11084.8159,341.7807,3.0833,8323404,18982811634
4/3/20,11084.8159,11201.2434,10955.3462,11014.7846,70.0313,0.6358,5971526,12939146285
4/2/20,11014.7846,11014.7846,10801.564,10908.9403,105.8443,0.9703,6564171,15855427044
4/1/20,10908.9403,11074.1558,10863.0038,11109.6099,-200.6696,-1.8063,7749349,16432008698
3/31/20,11109.6099,11109.9394,10753.9447,10688.6979,420.912,3.9379,8138346,18998874276
3/30/20,10688.6979,10743.2318,10580.0919,10689.9628,-1.2649,-0.0118,7598593,15813005430
3/27/20,10689.9628,10814.5531,10662.8624,10557.0389,132.9239,1.2591,7446205,16162556981
3/26/20,10557.0389,10606.8116,10358.9654,10417.1447,139.8942,1.3429,7656146,15167921355
3/25/20,10417.1447,10463.9856,10340.1388,10217.2932,199.8515,1.956,7271644,15707564887
3/24/20,10217.2932,10230.9362,10012.5005,9953.9745,263.3187,2.6454,6413359,16088921058
3/23/20,9953.9745,10052.8551,9829.93,10148.3873,-194.4128,-1.9157,6145324,15166569096
3/20/20,10148.3873,10191.6541,9937.9461,9885.7761,262.6112,2.6565,5131698,15562584654
3/19/20,9885.7761,10059.2942,9633.7865,9962.9087,-77.1326,-0.7742,6310543,21216169490
3/18/20,9962.9087,10335.6115,9961.9683,10104.7214,-141.8127,-1.4034,5141666,16745408184
3/17/20,10104.7214,10276.9958,9771.2386,10143.1756,-38.4542,-0.3791,5467012,18334393168
3/16/20,10143.1756,10539.7299,10103.4912,10577.9103,-434.7347,-4.1098,6075470,16539140915
3/13/20,10577.9103,10632.8068,10204.0615,10709.9018,-131.9915,-1.2324,6337911,19306924155
3/12/20,10709.9018,10805.5195,10642.6194,10937.7994,-227.8976,-2.0836,4602424,13213651907
3/11/20,10937.7994,11073.5726,10906.1292,10924.4628,13.3366,0.1221,5322496,14836539159
3/10/20,10924.4628,10942.7686,10550.8694,10648.2231,276.2397,2.5942,5648108,17861440641
3/9/20,10648.2231,10892.9997,10639.2703,11092.4105,-444.1874,-4.0044,6203722,17429099582
3/6/20,11092.4105,11248.8385,11070.8279,11229.0779,-136.6674,-1.2171,5446149,13671561965
3/5/20,11229.0779,11274.6453,10954.6269,10909.8718,319.2061,2.9258,7760568,23206819156
3/4/20,10909.8718,10920.9264,10670.7091,10731.1809,178.6909,1.6652,7181464,18139203726
3/3/20,10731.1809,10777.4318,10681.5751,10590.6336,140.5473,1.3271,5670040,16549182256
3/2/20,10590.6336,10637.3859,10367.0421,10326.6662,263.9674,2.5562,4903027,15173965293
2/28/20,10326.6662,10540.3816,10273.9579,10698.0312,-371.365,-3.4713,5237768,15591707641
2/27/20,10698.0312,10749.3085,10561.821,10535.4089,162.6223,1.5436,4515276,13120063118
2/26/20,10535.4089,10654.2917,10494.2116,10641.7767,-106.3678,-0.9995,6056721,15208208859
2/25/20,10641.7767,10675.3211,10467.1072,10729.8469,-88.0702,-0.8208,6235941,16331700823
2/24/20,10729.8469,10789.2348,10627.5845,10861.4804,-131.6335,-1.2119,6292504,16282989248
2/21/20,10861.4804,10916.5667,10825.7586,10950.2361,-88.7557,-0.8105,5320757,13721627931
2/20/20,10950.2361,10959.0185,10716.6394,10702.8488,247.3873,2.3114,5879011,17662302644
2/19/20,10702.8488,10759.3184,10628.4437,10686.2571,16.5917,0.1553,5458795,14914336731
2/18/20,10686.2571,10693.5747,10608.7583,10699.0245,-12.7674,-0.1193,6801741,14682030637
2/17/20,10699.0245,10700.0927,10522.4672,10508.7064,190.3181,1.8111,7478979,15393904682
2/14/20,10508.7064,10553.3086,10458.9037,10542.1756,-33.4692,-0.3175,5947955,12668675856
2/13/20,10542.1756,10668.5169,10520.413,10583.8205,-41.6449,-0.3935,6478498,14608489806
2/12/20,10583.8205,10604.7394,10546.5124,10521.2122,62.6083,0.5951,3743876,9838678108
2/11/20,10521.2122,10572.6722,10428.4166,10471.134,50.0782,0.4783,4728122,13564326210
2/10/20,10471.134,10489.5282,10293.7461,10413.2977,57.8363,0.5554,5837903,12931762475
2/7/20,10413.2977,10423.9866,10164.0021,10254.7814,158.5163,1.5458,4898720,12497621664
2/6/20,10254.7814,10287.4619,10027.3699,10033.8711,220.9103,2.2016,5968044,15282665433
2/5/20,10033.8711,10046.0131,9895.4763,9938.4818,95.3893,0.9598,5813189,15432129545
2/4/20,9938.4818,9941.37,9629.6482,9690.2997,248.1821,2.5611,6951923,19350348357
2/3/20,9690.2997,9716.7115,9453.6359,10413.8004,-723.5007,-6.9475,6613567,23508272425
1/23/20,10413.8004,10737.9619,10340.3925,10794.5515,-380.7511,-3.5273,4346578,15038136922
1/22/20,10794.5515,10813.1741,10598.4919,10820.3876,-25.8361,-0.2388,3408232,10806211383
1/21/20,10820.3876,10974.3044,10771.0518,11036.05,-215.6624,-1.9542,4035488,11777026975
1/20/20,11036.05,11067.6759,10986.5037,11064.8634,-28.8134,-0.2604,2927535,10610983398
1/17/20,11064.8634,11135.4781,11034.8923,11089.6872,-24.8238,-0.2238,2730395,8783163810
1/16/20,11089.6872,11095.8393,11019.139,11060.6215,29.0657,0.2628,2697965,8659145731
1/15/20,11060.6215,11149.8358,10980.3102,10981.781,78.8405,0.7179,3209707,10248567497
1/14/20,10981.781,11159.8889,10973.95,11128.3243,-146.5433,-1.3168,3590984,11292650938
1/13/20,11128.3243,11128.3243,11019.5135,11022.0514,106.2729,0.9642,3962698,13143292309
1/10/20,11022.0514,11047.4268,10946.8383,10968.0135,54.0379,0.4927,3466668,12092871031
1/9/20,10968.0135,10988.534,10858.2697,10806.8413,161.1722,1.4914,3779367,12787836430
1/8/20,10806.8413,10893.4003,10781.0768,10876.1223,-69.281,-0.637,3815584,10232003250
1/7/20,10876.1223,10876.3966,10730.7596,10703.7069,172.4154,1.6108,4612706,13863151226
1/6/20,10703.7069,10768.3858,10634.6475,10737.1282,-33.4213,-0.3113,5798526,16618259720
1/3/20,10737.1282,10868.0823,10674.3814,10863.5716,-126.4434,-1.1639,4294467,22289499291
1/2/20,10863.5716,10918.6536,10756.4638,10838.5003,25.0713,0.2313,4678066,25907018524
12/31/19,10838.5003,10849.645,10764.9406,10814.0837,24.4166,0.2258,2874123,8953979831
12/30/19,10814.0837,10842.9784,10647.3419,10661.6343,152.4494,1.4299,3357907,12646814618
12/27/19,10661.6343,10723.5922,10589.1058,10567.4727,94.1616,0.8911,2980235,12112427017
12/26/19,10567.4727,10568.8934,10519.9122,10549.0449,18.4278,0.1747,1798050,6534900482
12/25/19,10549.0449,10621.3036,10510.6902,10606.9905,-57.9456,-0.5463,2278274,7307844669
12/24/19,10606.9905,10618.3249,10525.3611,10534.6579,72.3326,0.6866,2423040,5829219467
12/23/19,10534.6579,10633.4396,10519.8486,10590.7757,-56.1178,-0.5299,3008606,8364519126
12/20/19,10590.7757,10651.9931,10576.7985,10629.1622,-38.3865,-0.3611,2292831,7650255069
12/19/19,10629.1622,10707.8125,10595.7489,10720.5637,-91.4015,-0.8526,2329441,7736317572
12/18/19,10720.5637,10799.8397,10695.1199,10780.1407,-59.577,-0.5527,2748938,8385498521
12/17/19,10780.1407,10793.4845,10672.9526,10710.7196,69.4211,0.6481,3415977,12476446449
12/16/19,10710.7196,10764.9889,10649.2763,10755.634,-44.9144,-0.4176,2860001,10316969510
12/13/19,10755.634,10756.0723,10652.6339,10597.5438,158.0902,1.4918,3319827,10298808577
12/12/19,10597.5438,10648.4945,10569.073,10643.1286,-45.5848,-0.4283,2498562,8268743755
12/11/19,10643.1286,10717.869,10604.3677,10696.3274,-53.1988,-0.4974,2675518,6600233029
12/10/19,10696.3274,10696.3387,10628.805,10689.0891,7.2383,0.0677,2875788,6740243511
12/9/19,10689.0891,10821.6793,10677.4096,10793.6433,-104.5542,-0.9687,3101679,9005944686
12/6/19,10793.6433,10793.7397,10653.3036,10646.8998,146.7435,1.3783,2528372,10037824154
12/5/19,10646.8998,10662.6122,10576.8651,10589.9894,56.9104,0.5374,2894530,8826687072
12/4/19,10589.9894,10685.8263,10555.5182,10624.0839,-34.0945,-0.3209,2597832,9804759400
12/3/19,10624.0839,10631.8232,10513.4909,10625.3814,-1.2975,-0.0122,2367239,8515757719
12/2/19,10625.3814,10667.5954,10580.9471,10596.3197,29.0617,0.2743,2569041,8992307923
11/29/19,10596.3197,10771.3937,10497.3117,10790.6162,-194.2965,-1.8006,2474589,15124484048
11/28/19,10790.6162,10884.3836,10764.3218,10823.9063,-33.2901,-0.3076,2434119,7831665188
11/27/19,10823.9063,10879.1673,10787.7524,10848.9721,-25.0658,-0.231,3170475,7952439891
